iter	Passed	Remaining
0	217	217773
1	259	129254
2	302	100476
3	342	85177
4	382	76080
5	435	72161
6	474	67244
7	502	62293
8	519	57229
9	537	53163
10	555	49948
11	573	47221
12	593	45043
13	614	43288
14	635	41723
15	654	40258
16	674	39030
17	697	38030
18	719	37150
19	740	36286
20	763	35596
21	787	35003
22	805	34234
23	825	33589
24	845	32990
25	866	32463
26	885	31917
27	903	31354
28	923	30932
29	941	30425
30	960	30018
31	979	29639
32	999	29275
33	1016	28891
34	1034	28522
35	1051	28167
36	1068	27822
37	1090	27608
38	1108	27323
39	1124	26985
40	1142	26719
41	1159	26450
42	1175	26168
43	1194	25947
44	1213	25747
45	1234	25604
46	1253	25410
47	1271	25212
48	1291	25069
49	1309	24883
50	1327	24705
51	1345	24538
52	1364	24382
53	1382	24220
54	1400	24062
55	1418	23913
56	1439	23815
57	1462	23747
58	1482	23643
59	1499	23498
60	1515	23332
61	1531	23163
62	1546	22998
63	1561	22838
64	1578	22711
65	1596	22593
66	1614	22480
67	1632	22381
68	1655	22332
69	1674	22251
70	1696	22201
71	1715	22112
72	1736	22045
73	1756	21985
74	1777	21922
75	1795	21835
76	1814	21751
77	1836	21705
78	1856	21639
79	1877	21586
80	1907	21645
81	1937	21690
82	1957	21621
83	1977	21563
84	2003	21564
85	2023	21501
86	2041	21427
87	2060	21355
88	2077	21264
89	2098	21214
90	2115	21131
91	2134	21065
92	2153	20999
93	2171	20928
94	2189	20859
95	2212	20834
96	2243	20888
97	2271	20908
98	2290	20846
99	2308	20773
100	2326	20712
101	2344	20644
102	2363	20586
103	2382	20522
104	2400	20458
105	2422	20433
106	2443	20393
107	2461	20331
108	2480	20274
109	2495	20189
110	2511	20111
111	2530	20064
112	2548	20000
113	2566	19943
114	2581	19867
115	2598	19804
116	2617	19754
117	2637	19712
118	2655	19656
119	2673	19604
120	2692	19561
121	2711	19517
122	2729	19459
123	2749	19420
124	2768	19376
125	2788	19340
126	2808	19309
127	2829	19275
128	2851	19249
129	2872	19221
130	2893	19195
131	2915	19173
132	2935	19135
133	2953	19086
134	2972	19047
135	2990	19000
136	3008	18951
137	3027	18913
